,Company,Cities,Year of Starting,Founders,Industries,Funding Amount,Funding Rounds,Number of Employees,Number of Investors
0,1) Urban Company,Gurgaon,2014,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Apps, Home Services, Marketplace, Service Industry","445,920,356",12,1001-5000,16
1,2) Classplus,Noida,2018,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustagi","B2B, E-Learning, EdTech, Education, Mobile Apps, SaaS, Software","89,506,451",10,101-250,20
2,3) Paytm,Noida,2010,"Akshay Khanna, Vijay Shekhar Sharma","E-Commerce, Finance, Financial Services, Internet, Mobile Apps, Mobile Payments","32,448,851",4,501-1000,4
3,4) Apna,Mumbai,2019,Nirmit Parikh,"Employment, Human Resources, Recruiting, Staffing Agency","93,450,000",4,101-250,6
4,5) Razorpay,Bengaluru,2014,"Harshil Mathur, Shashank Kumar","Financial Services, FinTech, Payments, Software","366,600,000",7,1001-5000,29
5,6) UpGrad,Mumbai,2015,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","E-Learning, EdTech, Education","176,283,446",4,1001-5000,4
6,7) Delhivery,Gurgaon,2011,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","E-Commerce, Freight Service, Last Mile Transportation, Logistics, Shipping, Supply Chain Management, Transportation, Warehousing","1,236,569,361",11,5001-10000,13
7,8) 1mg,Gurgaon,2015,"Anurag Mundhada, Gaurav Agarwal, Prashant Tandon, Sameer Maheshwari, Vikas Chauhan","Delivery, E-Commerce, Health Care, Internet, Medical, Pharmaceutical","204,600,209",16,11-50,17
8,9) BigBasket,Bengaluru,2011,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar","Delivery, Delivery Service, E-Commerce, Grocery, Internet, Retail, Shopping","1,119,863,468",17,5001-10000,17
9,10) GoMechanic,Gurgaon,2016,"Amit Bhasin, Kushal Karwa, Nitin Rana, Puneet Gulati, Rishabh Karwa","Automotive, Customer Service, E-Commerce, Sales","59,849,371",8,251-500,9
10,11) Unacademy,Bengaluru,2015,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","E-Learning, EdTech, Education, Training","398,500,000",11,251-500,36
11,12) Ola,Kormangala,2010,"Ankit Bhati, Bhavish Aggarwal","Apps, Internet, Mobile, Ride Sharing, Transportation","3,808,672,049",25,5001-10000,45
12,13) Licious,Bengaluru,2015,"Abhay Hanjura, Vivek Gupta","Delivery Service, E-Commerce, Food and Beverage, Food Delivery","158,589,644",7,1001-5000,20
13,14) CRED,Bengaluru,2018,Kunal Shah,"Credit Cards, Financial Services, FinTech, Payments, Personal Finance","471,205,550",6,251-500,28
14,15) CityMall,Gurgaon,2019,"Angad Kikla, Divij Goyal, Naisheel Verdhan","Consumer Goods, E-Commerce, Lifestyle","37,100,000",5,101-250,14
15,16) Pine Labs,Noida,1998,"Rajul Garg, Tarun Upaday","Financial Services, FinTech, Information Technology, Payments","423,238,799",8,1001-5000,15
16,17) Dodla Dairy,Hyderabad,1995,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Consumer Goods, Food and Beverage, Food Processing, Manufacturing","71,276,176",3,501-1000,13
17,18) Groww,Bengaluru,2017,"Albinder Dhindsa, Saurabh Kumar","Financial Services, FinTech, Funding Platform, Impact Investing","142,262,674",6,251-500,16
18,19) Grofers,Gurgaon,2013,"Ashish Jhina, Karthik Venkateswaran","Delivery, E-Commerce, E-Commerce Platforms, Grocery, Retail","662,398,135",13,1001-5000,13
19,20) Jumbotail,Bengaluru,2015,"Deepak Malhotra, Rajan Bajaj","E-Commerce, Food and Beverage, Grocery, Marketplace, Retail","55,345,400",8,101-250,20
20,21) slice,Bengaluru,2016,"Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah","Banking, Financial Services, FinTech, Lending, Payments","53,665,909",8,251-500,20
21,22) InMobi,Bengaluru,2007,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Advertising, Advertising Platforms, Digital Media, Marketing, Mobile","320,600,000",7,501-1000,6
22,23) Dunzo,Bengaluru,2015,"Byju Raveendran, Divya Gokulnath","Delivery, Delivery Service, E-Commerce, Mobile, Mobile Apps","128,399,438",15,1001-5000,24
23,24) BYJUâS,Bengaluru,2011,"Akash Sinha, Reeju Datta","E-Learning, EdTech, Education, Higher Education, Software","2,745,964,432",18,251-500,38
24,25) Cashfree,Bengaluru,2015,Satish Kannan,"Finance, Financial Services, FinTech, Mobile Payments, Payments","40,920,000",4,1001-5000,6
25,26) MediBuddy,Bengaluru,2000,Pallavi Shrivastava,"Health Care, Health Insurance, Medical, mHealth","67,132,379",5,11-50,12
26,27) Progcap,Delhi,2017,"Gaurav Hinduja, Sashank Rishyasringa","Enterprise, Finance, Financial Services, FinTech, Supply Chain Management","32,324,325",4,51-100,9
27,28) Capital Float,Bengaluru,2013,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","B2B, Financial Services, FinTech, Small and Medium Businesses","150,417,120",11,1001-5000,12
28,29) CARS24,Gurgaon,2015,"Krishna Ella, Suchitra Ella","Artificial Intelligence, Automotive, B2C, E-Commerce, Marketplace, Sales Automation, Software, Transaction Processing","393,848,044",5,501-1000,21
29,30) Bharat Biotech,Hyderabad,1996,"Devanshi Kejriwal, Dhvanil Sheth",Biotechnology,"14,100,000",3,11-50,3
